Source,Target,Type,Weight,Similarity
richards1052,90stvkid,Undirected,0.2857142857142857,0.2857142857142857
richards1052,Tr0jan___,Undirected,0.6666666666666666,0.6666666666666666
richards1052,manofwater3615,Undirected,0.3333333333333333,0.3333333333333333
richards1052,TendieRetard,Undirected,0.3333333333333333,0.3333333333333333
richards1052,ContentChecker,Undirected,0.625,0.625
richards1052,Ilovedia,Undirected,0.6666666666666666,0.6666666666666666
richards1052,newsspotter,Undirected,0.42857142857142855,0.42857142857142855
richards1052,K9Imperium,Undirected,0.3333333333333333,0.3333333333333333
richards1052,YamFrosty6169,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Glad_Opinion_6339,Undirected,0.2857142857142857,0.2857142857142857
richards1052,[deleted],Undirected,0.625,0.625
richards1052,Dingus-the-Mingus,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Practical_Chef_7897,Undirected,0.375,0.375
richards1052,Burning-Bush-613,Undirected,0.3333333333333333,0.3333333333333333
richards1052,endingcolonialism,Undirected,0.3333333333333333,0.3333333333333333
richards1052,KnowTheTruthMatters,Undirected,0.6666666666666666,0.6666666666666666
richards1052,Nomogg,Undirected,0.25,0.25
richards1052,MrJasonMason,Undirected,0.3333333333333333,0.3333333333333333
richards1052,KingofTrilobites123,Undirected,0.5,0.5
richards1052,Apollo_Delphi,Undirected,0.3333333333333333,0.3333333333333333
richards1052,SecretBiscotti8128,Undirected,0.3333333333333333,0.3333333333333333
richards1052,adilbuilds,Undirected,0.25,0.25
richards1052,pumpkinzh,Undirected,0.42857142857142855,0.42857142857142855
richards1052,librephili,Undirected,0.625,0.625
richards1052,safemath,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Particular_Log_3594,Undirected,0.42857142857142855,0.42857142857142855
richards1052,Enough_Credit_8199,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Financial_Smile4143,Undirected,0.42857142857142855,0.42857142857142855
richards1052,Pinkblushdiva,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Able_Compote6571,Undirected,0.42857142857142855,0.42857142857142855
richards1052,CopiousCool,Undirected,0.5,0.5
richards1052,tyuptyupolpolp,Undirected,0.3333333333333333,0.3333333333333333
richards1052,palilibre,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Ambitious-Narwhal158,Undirected,0.3333333333333333,0.3333333333333333
richards1052,ElectricalChance3664,Undirected,0.2857142857142857,0.2857142857142857
richards1052,Sea_Banana882,Undirected,0.3333333333333333,0.3333333333333333
richards1052,Ok_Strawberry_2143,Undirected,0.3333333333333333,0.3333333333333333
wild_orca,melow_shri,Undirected,1.0,1.0
wild_orca,adilbuilds,Undirected,0.25,0.25
wild_orca,pumpkinzh,Undirected,0.25,0.25
wild_orca,Aqn95,Undirected,1.0,1.0
wild_orca,Narrow_Guava_6239,Undirected,0.5,0.5
wild_orca,Particular_Log_3594,Undirected,0.25,0.25
wild_orca,mania_d,Undirected,1.0,1.0
wild_orca,willflameboy,Undirected,1.0,1.0
wild_orca,Beneficial-Network91,Undirected,0.5,0.5
wild_orca,Wolf4612,Undirected,0.5,0.5
wild_orca,Fit_Fisherman_3317,Undirected,1.0,1.0
wild_orca,OkShelter6459,Undirected,1.0,1.0
Level-Kiwi-3836,90stvkid,Undirected,0.3333333333333333,0.3333333333333333
Level-Kiwi-3836,TendieRetard,Undirected,0.5,0.5
Level-Kiwi-3836,Firm_Paint8474,Undirected,0.5,0.5
Level-Kiwi-3836,Ilovedia,Undirected,0.25,0.25
Level-Kiwi-3836,newsspotter,Undirected,0.25,0.25
Level-Kiwi-3836,Amr_Abu_Ouda,Undirected,1.0,1.0
Level-Kiwi-3836,WhichSideOfNoWhere,Undirected,1.0,1.0
Level-Kiwi-3836,GRS_89,Undirected,1.0,1.0
Level-Kiwi-3836,Due_Sun9,Undirected,1.0,1.0
Level-Kiwi-3836,CharlieSmith_27,Undirected,1.0,1.0
Level-Kiwi-3836,K9Imperium,Undirected,0.5,0.5
Level-Kiwi-3836,YamFrosty6169,Undirected,0.5,0.5
Level-Kiwi-3836,reparationsNowToday,Undirected,1.0,1.0
Level-Kiwi-3836,angels-cry,Undirected,1.0,1.0
Level-Kiwi-3836,iLikeDucks72,Undirected,1.0,1.0
Level-Kiwi-3836,CelestialCometDoll,Undirected,1.0,1.0
Level-Kiwi-3836,tortilla_avalanche,Undirected,0.5,0.5
Level-Kiwi-3836,Relative-Narwhal-504,Undirected,1.0,1.0
Level-Kiwi-3836,Brutally_Honest_Swan,Undirected,1.0,1.0
Level-Kiwi-3836,OmegaDGalaxyGoji777,Undirected,1.0,1.0
Level-Kiwi-3836,Life-Focus-3105,Undirected,1.0,1.0
Level-Kiwi-3836,Dingus-the-Mingus,Undirected,0.5,0.5
Level-Kiwi-3836,Virtual_Ad_4734,Undirected,1.0,1.0
Level-Kiwi-3836,SuccessfulOwl9919,Undirected,1.0,1.0
Level-Kiwi-3836,mornunglake,Undirected,1.0,1.0
Level-Kiwi-3836,veinsouls,Undirected,1.0,1.0
Level-Kiwi-3836,No-Trick-7397,Undirected,1.0,1.0
Level-Kiwi-3836,dark00H,Undirected,1.0,1.0
Level-Kiwi-3836,DesignerSkyline01,Undirected,1.0,1.0
Level-Kiwi-3836,Accomplished_Cry6108,Undirected,1.0,1.0
Level-Kiwi-3836,SchemeBoth2169,Undirected,1.0,1.0
Level-Kiwi-3836,CraftyOpportunity646,Undirected,1.0,1.0
Level-Kiwi-3836,VolkswagenPanda,Undirected,1.0,1.0
Level-Kiwi-3836,amotivatedgal,Undirected,1.0,1.0
Level-Kiwi-3836,Pack_Em_Up,Undirected,1.0,1.0
Level-Kiwi-3836,Burning-Bush-613,Undirected,0.5,0.5
Level-Kiwi-3836,SnooOnions4663,Undirected,1.0,1.0
Level-Kiwi-3836,mar_de_mariposas,Undirected,1.0,1.0
Level-Kiwi-3836,endingcolonialism,Undirected,0.5,0.5
Level-Kiwi-3836,KnowTheTruthMatters,Undirected,0.25,0.25
Level-Kiwi-3836,barb_20,Undirected,1.0,1.0
Level-Kiwi-3836,Fhlurrhy108,Undirected,1.0,1.0
Level-Kiwi-3836,antifamarketer,Undirected,1.0,1.0
Level-Kiwi-3836,MoonGlissades,Undirected,1.0,1.0
Level-Kiwi-3836,MrJasonMason,Undirected,0.5,0.5
Level-Kiwi-3836,shane_4_us,Undirected,1.0,1.0
Level-Kiwi-3836,Comfortable_Spend436,Undirected,1.0,1.0
Level-Kiwi-3836,KingofTrilobites123,Undirected,0.3333333333333333,0.3333333333333333
Level-Kiwi-3836,ABCecy,Undirected,1.0,1.0
Level-Kiwi-3836,Apollo_Delphi,Undirected,0.5,0.5
Level-Kiwi-3836,Alternative-Dare-601,Undirected,1.0,1.0
Level-Kiwi-3836,Witty-Savings-2048,Undirected,1.0,1.0
Level-Kiwi-3836,SecretBiscotti8128,Undirected,0.5,0.5
Level-Kiwi-3836,adilbuilds,Undirected,0.25,0.25
Level-Kiwi-3836,Narrow_Guava_6239,Undirected,0.5,0.5
Level-Kiwi-3836,Particular_Log_3594,Undirected,0.25,0.25
Level-Kiwi-3836,Able_Ad_4891,Undirected,1.0,1.0
Level-Kiwi-3836,itsamefas,Undirected,1.0,1.0
Level-Kiwi-3836,CosmeticChemistPro,Undirected,1.0,1.0
Level-Kiwi-3836,Hamdan-mohamed,Undirected,1.0,1.0
Level-Kiwi-3836,SillyPassion7773,Undirected,1.0,1.0
Level-Kiwi-3836,That-Flamingo9866,Undirected,1.0,1.0
Level-Kiwi-3836,No_Newspaper_2914,Undirected,1.0,1.0
Level-Kiwi-3836,Sad_Recognition_6037,Undirected,1.0,1.0
Level-Kiwi-3836,DarkShadow13206,Undirected,1.0,1.0
Level-Kiwi-3836,introvertaltsakki,Undirected,1.0,1.0
Level-Kiwi-3836,Jealous-Ad-4838,Undirected,1.0,1.0
Level-Kiwi-3836,PandoraHadess,Undirected,1.0,1.0
Level-Kiwi-3836,Weird-Noise-180,Undirected,1.0,1.0
Level-Kiwi-3836,Financial_Smile4143,Undirected,0.25,0.25
Level-Kiwi-3836,ElkNational9973,Undirected,1.0,1.0
Level-Kiwi-3836,Colei_the_weird,Undirected,1.0,1.0
Level-Kiwi-3836,isaboobers,Undirected,1.0,1.0
Level-Kiwi-3836,Ok-Divide4719,Undirected,0.5,0.5
Level-Kiwi-3836,LofiOcean131,Undirected,1.0,1.0
Level-Kiwi-3836,Apprehensive-Cut9959,Undirected,1.0,1.0
Level-Kiwi-3836,Pinkblushdiva,Undirected,0.5,0.5
Level-Kiwi-3836,Ridussey,Undirected,1.0,1.0
Level-Kiwi-3836,Away-Lavishness-3805,Undirected,1.0,1.0
Level-Kiwi-3836,winter_in_eden,Undirected,1.0,1.0
Level-Kiwi-3836,Asinead666,Undirected,1.0,1.0
Level-Kiwi-3836,SnooOwls4954,Undirected,1.0,1.0
Level-Kiwi-3836,Margiethecat,Undirected,1.0,1.0
Level-Kiwi-3836,Able_Compote6571,Undirected,0.25,0.25
Level-Kiwi-3836,pickl3dguava,Undirected,1.0,1.0
Level-Kiwi-3836,CopiousCool,Undirected,0.3333333333333333,0.3333333333333333
Level-Kiwi-3836,butterflyfrenchfry,Undirected,1.0,1.0
Level-Kiwi-3836,Effective_Nothing519,Undirected,1.0,1.0
Level-Kiwi-3836,Kekeegan,Undirected,1.0,1.0
Level-Kiwi-3836,aym0_0n,Undirected,1.0,1.0
Level-Kiwi-3836,Beneficial-Network91,Undirected,0.5,0.5
