Theme_Id,Theme_Name,Top_Words,Num_Authors,Num_Posts
Thème_1,Thème_1,"gaza, child, israel, christian, hamas, genocide, fighter, saying, based, carrying",27,34
Thème_2,Thème_2,"music, phone, celebrity, streaming, protesting, alternative, israel, spotify, ask, watch",20,27
Thème_3,Thème_3,"terrible, gadot, appeal, gal, anti, youtube, bd, amp, gaza, iran",10,18
Thème_4,Thème_4,"boycott, movie, list, apps, brand, malaysia, linked, reshaped, looking, industry",22,25
Thème_5,Thème_5,"palestine, boycott, time, israel, want, free, medium, gaza, pro, family",115,157
Thème_6,Thème_6,"israel, boycott, zionist, israeli, palestinian, company, boycotting, starbucks, show, eurovision",75,129
Thème_7,Thème_7,"mcdonald, country, cola, coca, israel, better, working, able, lie, fuck",16,20
Thème_8,Thème_8,"card, gift, jewish, shoe, gaza, journalist, holiday, month, killing, strawberry",24,27
Thème_9,Thème_9,"alternative, best, amazon, store, power, thanks, genocide, ethical, online, israel",13,19
Thème_10,Thème_10,"product, remember, lush, thought, second, palestine, people, home, israel, christmas",33,41
