theme_id,top_words,description
Thème_1,"gaza, child, israel, christian, hamas, genocide, fighter, saying, based, carrying",Thème 1
Thème_2,"music, phone, celebrity, streaming, protesting, alternative, israel, spotify, ask, watch",Thème 2
Thème_3,"terrible, gadot, appeal, gal, anti, youtube, bd, amp, gaza, iran",Thème 3
Thème_4,"boycott, movie, list, apps, brand, malaysia, linked, reshaped, looking, industry",Thème 4
Thème_5,"palestine, boycott, time, israel, want, free, medium, gaza, pro, family",Thème 5
Thème_6,"israel, boycott, zionist, israeli, palestinian, company, boycotting, starbucks, show, eurovision",Thème 6
Thème_7,"mcdonald, country, cola, coca, israel, better, working, able, lie, fuck",Thème 7
Thème_8,"card, gift, jewish, shoe, gaza, journalist, holiday, month, killing, strawberry",Thème 8
Thème_9,"alternative, best, amazon, store, power, thanks, genocide, ethical, online, israel",Thème 9
Thème_10,"product, remember, lush, thought, second, palestine, people, home, israel, christmas",Thème 10
